board_id,bucket,box_count,source_file,heuristic,rep,status,runtime_ms,pushes,expanded_nodes,total_children,effective_children,deadlocks
58,31-50,5,31_to_40.sok,neural_batched,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
58,31-50,5,31_to_40.sok,neural_batched_massive,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
59,31-50,5,31_to_40.sok,manhattan,1,SOLVED,1035.97,31,12537,250740,30776,22515
59,31-50,5,31_to_40.sok,hungarian,1,SOLVED,56.6817,31,635,12700,1640,1003
59,31-50,5,31_to_40.sok,neural_batched,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
59,31-50,5,31_to_40.sok,neural_batched_massive,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
60,51-70,7,51_to_60.sok,manhattan,1,TIMEOUT,20374.9,0,83569,2339932,500004,160347
60,51-70,7,51_to_60.sok,hungarian,1,SOLVED,4004.23,50,14382,402696,113802,20667
60,51-70,7,51_to_60.sok,neural_batched,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
60,51-70,7,51_to_60.sok,neural_batched_massive,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
61,51-70,7,61_to_70.sok,manhattan,1,TIMEOUT,14971.9,0,114544,3207232,500003,177848
61,51-70,7,61_to_70.sok,hungarian,1,SOLVED,509.367,63,3574,100072,20033,6510
61,51-70,7,61_to_70.sok,neural_batched,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
61,51-70,7,61_to_70.sok,neural_batched_massive,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
