LevelName	Status	LURD_Path	Runtime_ms	Pushes	Moves	GeneratedStates	ExpandedNodes	TotalChildren	EffectiveChildren	RepeatedNodes	Deadlocks	BranchingReal	BranchingEffective	BranchingClassic	Redundancy	ClosedListLength	PathStates	PathBoxLines	PathBoxChanges	PathBranchingRealTotalNodes	PathBranchingRealMin	PathBranchingRealMax	PathBranchingRealAvg	PathBranchingEffectiveTotalNodes	PathBranchingEffectiveMin	PathBranchingEffectiveMax	PathBranchingEffectiveAvg	PathTotalChildrenGenerated	PathRepeatedNodes	PathDeadlocks	PathRedundancy
1 - Erim Sever - 99 [likes=5, dislikes=0, completion=0.476987447698745, like_ratio=1.0, like_rate=0.0209205020920502, tedium=7.5]	SOLVED	rrdRullldRurrdDRluulldRurDurrdLdddlluRdllluRUddrruLdrrU	20.5309	13	55	329	563	13512	860	754	964	24	1.52753	1.62771	17.9204	329	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
7 - Erim Sever - 100 [likes=8, dislikes=0, completion=0.441176470588235, like_ratio=1.0, like_rate=0.0336134453781513, tedium=5.125]	SOLVED	rrrrdrddldlllluRRdrruruuullldDuurrdrddlUruulllddRRlluurrDulllldDRddlUdrrrUL	139.569	13	75	1547	2897	92704	10392	6410	9372	32	3.58716	1.84631	14.4624	1547	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
35 - Erim Sever - 101 [likes=3, dislikes=0, completion=0.737068965517241, like_ratio=1.0, like_rate=0.0129310344827586, tedium=8.0]	SOLVED	drDDuuullldRdDuuurrdddDuLDLruruuulldRurDlldDlDurDuuurrDD	10.7966	16	56	114	143	2860	339	69	103	20	2.37063	1.36367	41.4493	114	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
39 - Erim Sever - 102 [likes=4, dislikes=0, completion=0.835748792270531, like_ratio=1.0, like_rate=0.0193236714975845, tedium=21.6666666666667]	SOLVED	uRUrUrrdddllUdrruuuuullDlDDuururrddlLrrdddlluUdLrdrruuuuulldlDururrdddddllulLrrdrruuuuulldldDrdLrdrruuulLulDD	9.76319	18	109	37	69	828	151	82	50	12	2.18841	1.2652	10.0976	37	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
3 - Erim Sever - 103 [likes=5, dislikes=0, completion=0.728813559322034, like_ratio=1.0, like_rate=0.0169491525423729, tedium=11.0]	SOLVED	rdrRURlLdlUruLdrrrRdLrrddllUUruLLLdlUdrRurrdrddlluUruLLdlU	12.6033	20	58	122	211	4220	381	217	274	20	1.80569	1.30682	19.447	122	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
2 - Erim Sever - 104 [likes=4, dislikes=0, completion=0.710714285714286, like_ratio=1.0, like_rate=0.0142857142857143, tedium=35.5]	SOLVED	rrrrrdLrddrruuLLuuuurrdLulDDDDrrddllUUUUdlllldddrruURuruUddldlddlluuurRllddRluurrdrRuuuluRRdrUdlldddddrruuLrddlluUUUUluRRdldddlluRdrUUUluRdrUdlddlllldddrrUUdlluurRRdrUUUluR	76.8509	43	172	1898	3517	56272	4396	4141	4148	16	1.24993	1.20912	13.589	1898	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
31 - Erim Sever - 105 [likes=7, dislikes=0, completion=0.875555555555556, like_ratio=1.0, like_rate=0.0311111111111111, tedium=7.66666666666667]	SOLVED	uulllDurrrddllURlluRddrrU	8.62736	6	25	10	10	120	24	0	16	12	2.4	1.4678	0	10	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
33 - Erim Sever - 106 [likes=4, dislikes=1, completion=0.89922480620155, like_ratio=0.8, like_rate=0.0155038759689922, tedium=3.8]	SOLVED	llululuRddrdrruUddlluluRRlddrU	8.11532	6	30	11	11	220	44	3	20	20	4	1.4913	73.3333	11	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
32 - Erim Sever - 107 [likes=6, dislikes=0, completion=0.437275985663082, like_ratio=1.0, like_rate=0.021505376344086, tedium=6.0]	SOLVED	luuRlddrUrruuLDrdL	9.43626	6	18	8	9	108	12	3	19	12	1.33333	1.44225	36	8	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
15 - Erim Sever - 108 [likes=4, dislikes=1, completion=0.751219512195122, like_ratio=0.8, like_rate=0.0195121951219512, tedium=27.3333333333333]	SOLVED	LLLLLLLLulldRRRRRRlllllddddddDldRRRRRRRRRRllllllllluuuuuuuurrrrrRllllllddddddddrrrrrrrrrurrdLuluuuuuUUdddddddrddlUUUUUUdddddllllllllluuuuuuuurrrrrrRRllllllllddddddddrrrrrrrrruuuuuUddddddllllllllluuuuuuuurrrrrrrrRUdlllllllllddddddddrrrrrrrrruuuuuuUU	65.2955	43	248	697	2833	33996	4924	877	333	12	1.73809	1.20305	38.764	697	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
4 - Erim Sever - 109 [likes=3, dislikes=0, completion=0.815, like_ratio=1.0, like_rate=0.015, tedium=8.0]	SOLVED	drDDuuullldRdDuuurrdddDuLDLruruuulldRurDlldDlDurDuuurrDD	10.4845	16	56	114	143	2860	339	69	103	20	2.37063	1.36367	41.4493	114	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
68 - Spiros Mantzoukis - 110 [likes=2, dislikes=0, completion=0.810185185185185, like_ratio=1.0, like_rate=0.0092592592592592, tedium=12.6666666666667]	SOLVED	rruullDurrddlLdlluuRDrrruulDrdLLruulDDLulD	9.65911	12	42	53	68	816	125	32	92	12	1.83824	1.42138	25.5	53	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
11 - Spiros Mantzoukis - 111 [likes=5, dislikes=0, completion=0.921397379912664, like_ratio=1.0, like_rate=0.0218340611353712, tedium=1.4]	SOLVED	LrULdrRDuUddLDLD	8.97355	11	16	33	39	1560	96	0	6	40	2.46154	1.39522	0	33	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
1 - Brian Kent - 112 [likes=5, dislikes=1, completion=0.857740585774059, like_ratio=0.833333333333333, like_rate=0.0209205020920502, tedium=39.0]	SOLVED	LruulldlddrUrrRlllUdrruurrdrddlUUUUdddlllluUUdddrrrrrrrruulululLLrddddlllllllluurururRddrruUUdddlluuRlddrruU	9.84009	18	108	51	65	520	155	105	23	8	2.38462	1.26101	4.95238	51	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
