LevelName	Status	LURD_Path	Runtime_ms	Pushes	Moves	GeneratedStates	ExpandedNodes	TotalChildren	EffectiveChildren	RepeatedNodes	Deadlocks	BranchingReal	BranchingEffective	BranchingClassic	Redundancy	ClosedListLength	PathStates	PathBoxLines	PathBoxChanges	PathBranchingRealTotalNodes	PathBranchingRealMin	PathBranchingRealMax	PathBranchingRealAvg	PathBranchingEffectiveTotalNodes	PathBranchingEffectiveMin	PathBranchingEffectiveMax	PathBranchingEffectiveAvg	PathTotalChildrenGenerated	PathRepeatedNodes	PathDeadlocks	PathRedundancy
4 - Thinking Rabbit - 27 [likes=10, dislikes=0, completion=0.5260663507109, like_ratio=1.0, like_rate=0.04739336492891, tedium=12.5]	SOLVED	lLLUlDrrruLdllulldRRRRuLLuurDlddlluRdrrddlUrururrdLL	22.739	17	52	468	1096	17536	1504	1375	2361	16	1.37226	1.50943	12.7535	468	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
No. 01-01 - Thinking Rabbit - 28 [likes=4, dislikes=1, completion=0.592105263157895, like_ratio=0.8, like_rate=0.0087719298245614, tedium=23.3333333333333]	SOLVED	dDDllddrrUUUUdrrrrddllUdrruulLLulDuluRddDuuuRRlddldllddrrUUUdlldRururuulldRddlddrUUUUluRRlddrU	19.9233	27	94	363	624	7488	704	324	582	12	1.12821	1.26919	23.1111	363	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
No. 02-01 - Thinking Rabbit - 29 [likes=2, dislikes=0, completion=0.552380952380952, like_ratio=1.0, like_rate=0.0095238095238095, tedium=16.0]	SOLVED	llddlDDuuruurrddrrdddllUdrruuululullddlddldRuuuruurrddrrdddllulLrrdrruuululullddldlddrUrrrRllllluurruurrddDuuullddlluRdrUdllddrUluuruRdllddrUddrrR	47.2204	15	146	931	2244	44880	5321	3440	4793	20	2.37121	1.67264	13.0465	931	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
No. 01-02 - Thinking Rabbit - 30 [likes=4, dislikes=0, completion=0.436170212765957, like_ratio=1.0, like_rate=0.0106382978723404, tedium=13.5]	SOLVED	urrdrUdlddrUUlulldRurDrruLLuurDlddlluRdrrddlUrururrdLL	25.2511	13	54	469	930	14880	1347	1203	1702	16	1.44839	1.69178	12.3691	469	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
No. 01-03 - Thinking Rabbit - 31 [likes=2, dislikes=0, completion=0.565989847715736, like_ratio=1.0, like_rate=0.0050761421319797, tedium=6.6]	SOLVED	lllDldddrrrUlURddllluRdrruulDuLuurDlddrruUruL	21.8068	11	45	655	866	17320	4185	1346	1856	20	4.83256	1.84947	12.8678	655	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
No. 02-10 - Thinking Rabbit - 32 [likes=8, dislikes=1, completion=0.411467116357504, like_ratio=0.888888888888889, like_rate=0.0134907251264755, tedium=9.16666666666667]	SOLVED	dRluuRlddrUrRdLrdrruLLuuurrdLDlddrruLulllluurDldRRllddrUluR	25.0489	16	59	654	1608	38592	1768	1827	3355	24	1.0995	1.58633	21.1232	654	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
No. 01-01 - Thinking Rabbit - 33 [likes=10, dislikes=1, completion=0.258958145137007, like_ratio=0.909090909090909, like_rate=0.0030111412225233, tedium=29.6666666666667]	SOLVED	rrDDDDrddlluRdrUluRluuuullddRluurrdDDDrRRllddlluRurrrdrUUdlllluuuulDrdddddrUluRRRllluuulldRurDDDrrrdrUlllddlluRdrUluRRR	12.3514	32	119	299	483	5796	554	234	564	12	1.147	1.21304	24.7692	299	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
No. 01-10 - Thinking Rabbit - 34 [likes=8, dislikes=1, completion=0.493975903614458, like_ratio=0.888888888888889, like_rate=0.0096385542168674, tedium=7.2]	SOLVED	dRRRurruullDDLdlluRRRuulDurrrddLruulDllD	15.6621	14	40	219	677	13540	844	881	1666	20	1.24668	1.59289	15.3689	219	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
No. 02-01 - Thinking Rabbit - 35 [likes=8, dislikes=1, completion=0.554830287206266, like_ratio=0.888888888888889, like_rate=0.010443864229765, tedium=14.25]	SOLVED	ullldllluRuulDrddrrurrdrrUlllldlluRlulldRdrruRRldllluRdrrurRdrruLLLrrrruulDrdLLLrruulDrdL	22.6035	19	89	555	1239	19824	1424	1654	1978	16	1.14931	1.45477	11.9855	555	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
No. 01-07 - Thinking Rabbit - 36 [likes=8, dislikes=1, completion=0.538363171355499, like_ratio=0.888888888888889, like_rate=0.010230179028133, tedium=15.8]	SOLVED	dddlUlLullDDDuuurrdLrrrdddlluLdLrrrruuulllDurrrdddllllLrrrrruuullldlDururrrdddlllLuurDuuulDrddldRuuulDurrrrruulDrdLLLullddDuuurDDD	33.6752	25	130	957	2074	41480	3649	2707	2398	20	1.7594	1.35729	15.3232	957	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
